TICKER,AVG_FINBERT,SORTED_BY_AVG_VADER
CINF,0.18417116407172984,0.1413013901902636
SIGI,0.26700098028046276,0.14090013350266142
THG,0.24426776610968595,0.1277670150384131
KMPR,0.3272214970499452,0.11534074864179031
ALL,0.2517388918568899,0.11428750289140253
FRFHF,0.3868706493563766,0.11324038673588424
MCY,0.3618876801154904,0.11109055272108843
HIG,0.2761302050137445,0.10767335867297476
AFG,0.33008330919997086,0.10552364206683824
CNA,0.18438498620627877,0.10521725171087092
TRV,0.2433240375950569,0.09770176379714289
CB,0.3072585865780357,0.09554166839605428
MKL,0.33561950965087595,0.09442567488795386
BRK,0.32683291885024235,0.09349705651491366
AIZ,0.20603737529318386,0.08960919278279193
AIG,0.28859256710501296,0.0891639903501782
JRVR,0.14312469095370303,0.0879392237300817
EG,0.33220105760678764,0.08361538164216366
AXS,0.300131819038568,0.08328124110058024
MAP,0.36141956861159197,0.0789146712584524
SKWD,0.19277952226950099,0.07822944444444443
SREN,0.299921416550364,0.07178370267238526
WRB,0.33668383208873115,0.07081066058158009
RLI,0.29477822069104104,0.06961459008753598
HRTG,0.1611458801050971,0.06947847261296008
ALIZY,0.26810310004839644,0.06788193087791793
TIPT,0.09758569154976401,0.06773809523809525
IFC,0.2154723321950982,0.06694654430891644
KNSL,0.24009732513461562,0.06488107445568231
PGR,0.2664407459910174,0.06477137080983708
ACGL,0.2436601274307364,0.06347113991919069
ORI,0.1619141821340811,0.05815255875077301
UVE,0.15367169097976793,0.05740560307486758
ZURN,0.16561562705849792,0.05306309995559994
AFL,0.18247125276556705,0.0506377023303494
APO,0.07140562539667858,0.02940617433414044
