Pricing Date,PGR-Share Price (Daily)(%),S&P United States BMI Insurance (Industry Group) Index-Index Value (Daily)(%),AFG-Share Price (Daily)(%),ALL-Share Price (Daily)(%),AFL-Share Price (Daily)(%),TRV-Share Price (Daily)(%),,,,,
1/19/2021,297.15,56.68,144.56,69.36,104.57,167.29,,,,,
1/18/2021,NA,55.44,NA,NA,NA,NA,,,,,
1/15/2021,291.41,55.44,144.22,66.49,102.09,166.79,,,,,
1/14/2021,285.84,55.85,148.01,67.50,103.78,165.08,,,,,
1/13/2021,291.95,55.79,148.51,67.22,100.39,164.95,,,,,
1/12/2021,292.53,55.79,152.05,68.61,100.78,161.54,,,,,
1/11/2021,292.61,54.10,151.02,67.64,93.52,155.97,,,,,
1/8/2021,290.17,54.91,153.58,68.87,93.43,160.10,,,,,
1/7/2021,291.16,55.44,155.19,69.05,94.26,159.02,,,,,
1/6/2021,307.89,55.80,156.14,68.93,95.35,159.08,,,,,
1/5/2021,300.29,50.08,139.96,64.69,88.09,150.57,,,,,
1/4/2021,301.03,49.93,137.15,66.00,87.78,152.65,,,,,
1/1/2021,NA,53.70,NA,NA,NA,NA,,,,,
12/31/2020,308.26,53.70,144.00,68.84,93.35,161.45,,,,,
12/30/2020,302.19,51.77,143.30,66.10,91.35,159.04,,,,,
12/29/2020,303.34,51.02,138.99,65.14,90.22,157.68,,,,,
12/28/2020,305.12,51.77,141.58,65.06,90.96,159.25,,,,,
12/25/2020,NA,51.82,NA,NA,NA,NA,,,,,
12/24/2020,305.90,51.82,143.86,64.63,90.61,157.94,,,,,
12/23/2020,302.60,51.31,140.74,62.79,89.26,156.94,,,,,
12/22/2020,304.58,50.15,135.70,63.09,87.09,154.20,,,,,
12/21/2020,304.38,51.03,136.40,63.06,89.52,157.31,,,,,
12/18/2020,300.29,51.46,137.68,64.95,90.83,158.63,,,,,
12/17/2020,297.65,53.30,142.50,63.66,94.83,157.09,,,,,
12/16/2020,297.85,52.76,142.52,63.45,94.26,155.99,,,,,
12/15/2020,299.22,52.45,145.50,62.68,95.09,155.65,,,,,
12/14/2020,288.52,49.48,141.85,61.07,92.17,149.56,,,,,
12/11/2020,289.72,50.76,145.22,60.39,94.96,151.35,,,,,
12/10/2020,288.93,51.94,150.40,61.91,97.17,154.63,,,,,
12/9/2020,286.46,51.54,147.26,61.56,96.17,151.28,,,,,
12/8/2020,283.32,51.45,148.48,61.96,96.70,151.93,,,,,
12/7/2020,272.63,50.35,143.47,58.82,96.39,149.39,,,,,
12/4/2020,269.61,52.77,153.97,60.28,101.26,153.60,,,,,
12/3/2020,264.57,50.57,148.06,59.47,98.65,151.61,,,,,
12/2/2020,268.29,50.37,151.04,59.24,97.00,149.66,,,,,
12/1/2020,268.13,49.91,151.13,60.18,94.35,148.48,,,,,
11/30/2020,259.66,46.75,148.98,57.20,91.00,141.48,,,,,
11/27/2020,265.11,49.97,159.34,59.94,96.87,150.40,,,,,
11/26/2020,NA,51.12,NA,NA,NA,NA,,,,,
11/25/2020,269.12,51.12,159.73,59.65,98.30,153.34,,,,,
11/24/2020,265.94,52.53,163.88,61.08,100.57,154.03,,,,,
11/23/2020,283.69,49.43,155.72,55.60,93.26,150.75,,,,,
11/20/2020,284.56,47.74,149.87,53.86,90.65,150.61,,,,,
11/19/2020,289.22,48.51,147.90,54.15,90.09,149.34,,,,,
11/18/2020,289.97,48.56,147.81,53.69,86.35,150.27,,,,,
11/17/2020,291.95,49.69,149.46,52.62,86.96,151.52,,,,,
11/16/2020,295.95,50.22,147.28,50.61,87.96,153.85,,,,,
11/13/2020,294.96,46.91,140.24,48.53,80.52,150.75,,,,,
11/12/2020,290.92,44.05,131.72,45.62,75.26,146.60,,,,,
11/11/2020,282.82,46.28,141.63,44.94,77.74,151.37,,,,,
11/10/2020,282.54,47.77,142.16,45.05,81.96,153.98,,,,,
11/9/2020,273.20,44.68,134.31,44.20,80.39,150.10,,,,,
11/6/2020,304.25,37.10,115.73,39.99,60.43,136.54,,,,,
11/5/2020,301.69,37.26,117.29,38.86,61.74,137.49,,,,,
11/4/2020,295.79,34.80,112.36,41.36,58.83,129.84,,,,,
11/3/2020,290.05,35.58,115.73,42.71,57.57,135.31,,,,,
11/2/2020,289.76,33.59,114.62,39.61,54.43,130.81,,,,,
10/30/2020,279.44,30.56,108.69,36.31,47.61,124.83,,,,,
10/29/2020,275.97,31.13,107.13,36.06,48.78,128.09,,,,,
10/28/2020,278.08,30.41,104.93,35.16,48.48,126.30,,,,,
10/27/2020,287.28,32.67,106.07,36.75,53.74,121.81,,,,,
10/26/2020,287.45,35.57,103.73,39.49,59.87,126.37,,,,,
10/23/2020,290.67,38.95,111.11,40.15,64.57,134.62,,,,,
10/22/2020,289.72,38.14,110.86,40.82,63.09,134.94,,,,,
10/21/2020,286.46,36.84,105.32,39.39,59.35,132.82,,,,,
10/20/2020,290.55,34.86,100.67,39.89,60.48,119.99,,,,,
10/19/2020,295.46,33.99,97.13,40.41,58.61,108.31,,,,,
10/16/2020,298.51,36.04,98.19,42.19,61.78,111.06,,,,,
10/15/2020,302.60,36.00,99.69,40.85,61.96,109.80,,,,,
10/14/2020,311.44,35.31,95.38,40.19,60.78,108.66,,,,,
10/13/2020,314.00,35.95,98.80,40.98,61.78,110.26,,,,,
10/12/2020,318.58,39.30,110.67,44.77,66.96,117.06,,,,,
10/9/2020,312.39,36.97,104.40,42.62,65.65,115.74,,,,,
10/8/2020,304.50,36.85,103.12,43.73,66.26,115.35,,,,,
10/7/2020,298.06,35.42,99.39,43.28,64.83,111.96,,,,,
10/6/2020,292.73,33.85,96.60,42.30,62.48,107.73,,,,,
10/5/2020,296.28,35.19,96.60,43.88,62.74,108.44,,,,,
10/2/2020,288.98,32.61,94.18,42.87,60.35,102.24,,,,,
10/1/2020,285.88,31.38,92.01,41.70,58.22,100.80,,,,,
9/30/2020,290.88,31.23,86.52,44.59,58.04,101.51,,,,,
9/29/2020,288.73,30.32,84.21,43.51,56.61,100.11,,,,,
9/28/2020,288.03,31.18,85.91,43.17,57.96,105.29,,,,,
9/25/2020,282.33,27.99,79.92,40.19,55.35,101.36,,,,,
9/24/2020,280.68,27.18,77.58,38.20,55.09,100.82,,,,,
9/23/2020,276.51,27.49,77.44,37.64,54.87,100.20,,,,,
9/22/2020,289.84,30.27,83.15,41.82,58.13,103.48,,,,,
9/21/2020,301.98,30.62,82.18,41.35,58.30,103.86,,,,,
9/18/2020,299.92,33.22,86.88,40.19,64.35,107.88,,,,,
9/17/2020,294.01,33.81,86.35,42.53,63.57,109.72,,,,,
9/16/2020,292.57,34.53,89.33,47.30,61.78,110.78,,,,,
9/15/2020,292.57,33.53,85.88,45.66,59.52,108.88,,,,,
9/14/2020,297.44,35.47,91.03,45.83,61.17,113.19,,,,,
9/11/2020,292.16,34.04,88.97,44.09,58.22,111.21,,,,,
9/10/2020,289.55,33.51,87.00,42.25,57.43,108.23,,,,,
9/9/2020,290.88,35.47,88.67,42.13,61.04,111.64,,,,,
9/8/2020,279.07,33.36,84.27,40.15,60.61,111.85,,,,,
9/7/2020,NA,36.85,NA,NA,NA,NA,,,,,
9/4/2020,283.73,36.85,91.12,44.08,64.61,117.12,,,,,
9/3/2020,285.18,36.19,86.94,43.36,60.61,114.84,,,,,
9/2/2020,292.24,38.43,87.08,45.28,60.43,118.81,,,,,
9/1/2020,287.57,36.24,85.41,42.77,59.57,113.62,,,,,
8/31/2020,292.40,35.78,86.16,42.84,57.91,116.13,,,,,
8/28/2020,286.79,36.94,89.70,44.83,61.43,115.85,,,,,
8/27/2020,285.26,37.08,87.75,44.57,60.35,118.25,,,,,
8/26/2020,280.55,34.74,84.29,42.85,58.48,111.47,,,,,
8/25/2020,283.03,35.37,88.00,44.02,61.30,115.35,,,,,
8/24/2020,279.85,35.09,87.58,45.91,62.52,114.01,,,,,
8/21/2020,279.11,32.93,81.01,45.12,58.35,108.29,,,,,
8/20/2020,275.06,34.40,83.32,46.46,59.39,109.59,,,,,
8/19/2020,273.29,35.16,84.18,44.80,61.00,110.84,,,,,
8/18/2020,270.52,35.49,83.74,45.42,61.48,114.06,,,,,
8/17/2020,266.76,35.98,82.48,46.26,62.87,115.89,,,,,
8/14/2020,267.34,37.75,88.28,47.63,65.52,120.90,,,,,
8/13/2020,267.63,37.48,88.28,47.84,64.13,122.15,,,,,
8/12/2020,267.51,37.55,89.92,47.80,63.57,121.38,,,,,
8/11/2020,267.55,38.92,93.90,48.72,65.35,123.36,,,,,
8/10/2020,272.09,38.62,89.64,49.36,62.91,121.87,,,,,
8/7/2020,274.61,37.46,83.57,48.84,58.78,118.59,,,,,
8/6/2020,269.98,34.39,75.10,45.11,53.96,111.85,,,,,
8/5/2020,274.15,35.43,74.02,45.54,54.57,114.34,,,,,
8/4/2020,272.63,33.12,70.79,47.81,52.43,110.65,,,,,
8/3/2020,271.14,34.21,72.35,47.73,53.74,113.08,,,,,
7/31/2020,273.00,34.38,69.23,44.97,54.65,113.11,,,,,
7/30/2020,265.48,34.03,69.31,41.42,53.43,115.92,,,,,
7/29/2020,267.13,35.62,72.46,44.37,58.70,117.64,,,,,
7/28/2020,260.94,33.55,66.17,41.71,57.78,114.25,,,,,
7/27/2020,260.45,34.31,67.06,42.37,58.39,117.23,,,,,
7/24/2020,262.76,35.60,72.38,44.92,59.87,120.30,,,,,
7/23/2020,265.98,36.54,75.77,45.40,60.83,120.92,,,,,
7/22/2020,272.17,36.33,74.71,43.63,59.39,127.68,,,,,
7/21/2020,266.85,35.13,72.26,41.08,58.74,124.29,,,,,
7/20/2020,263.87,33.37,67.75,39.66,56.43,121.21,,,,,
7/17/2020,261.81,34.40,72.54,40.79,57.48,121.94,,,,,
7/16/2020,259.66,34.56,76.36,40.70,58.13,124.44,,,,,
7/15/2020,254.62,32.83,73.43,38.43,57.74,121.90,,,,,
7/14/2020,248.89,30.25,67.39,37.81,55.00,120.80,,,,,
7/13/2020,231.67,27.41,64.77,35.92,51.65,112.78,,,,,
7/10/2020,233.44,27.44,65.00,33.57,51.61,112.03,,,,,
7/9/2020,221.18,23.43,58.26,31.81,47.70,104.95,,,,,
7/8/2020,219.45,26.47,67.47,35.49,53.91,110.80,,,,,
7/7/2020,222.13,25.11,61.35,42.30,50.52,109.50,,,,,
7/6/2020,227.91,27.52,70.04,46.89,56.61,113.39,,,,,
7/3/2020,NA,25.70,NA,NA,NA,NA,,,,,
7/2/2020,227.13,25.70,65.97,44.51,53.30,109.46,,,,,
7/1/2020,229.48,25.81,69.26,46.72,53.87,109.54,,,,,
6/30/2020,230.76,27.63,76.72,48.96,56.65,112.42,,,,,
6/29/2020,223.70,25.43,70.82,46.58,54.04,110.28,,,,,
6/26/2020,221.59,23.70,63.55,45.26,50.78,106.74,,,,,
6/25/2020,229.89,27.47,72.43,47.18,55.78,113.48,,,,,
6/24/2020,219.12,24.48,68.03,42.76,52.91,110.21,,,,,
6/23/2020,230.55,28.64,76.36,48.46,58.22,116.41,,,,,
6/22/2020,233.69,28.34,76.27,49.22,58.52,116.48,,,,,
6/19/2020,234.39,28.39,76.36,51.64,59.13,117.10,,,,,
6/18/2020,233.90,30.40,81.29,51.67,61.35,116.15,,,,,
6/17/2020,227.04,29.95,78.53,50.44,59.96,113.86,,,,,
6/16/2020,232.08,31.00,82.40,52.23,62.39,116.33,,,,,
6/15/2020,227.37,29.34,79.00,50.25,61.39,113.91,,,,,
6/12/2020,216.27,27.28,73.57,46.98,59.30,111.08,,,,,
6/11/2020,213.46,24.54,68.00,45.58,55.04,105.90,,,,,
6/10/2020,231.46,34.75,85.55,56.63,69.96,125.33,,,,,
6/9/2020,234.52,39.16,98.94,58.52,74.78,133.60,,,,,
6/8/2020,236.54,42.65,108.55,64.32,83.04,138.41,,,,,
6/5/2020,238.03,39.63,99.19,61.99,76.22,131.63,,,,,
6/4/2020,225.35,34.64,83.51,56.44,71.00,119.78,,,,,
6/3/2020,226.63,31.95,81.01,54.22,66.13,113.21,,,,,
6/2/2020,226.51,28.17,71.57,52.05,61.91,106.74,,,,,
6/1/2020,223.45,26.60,67.98,52.16,60.74,103.30,,,,,
5/29/2020,220.73,25.82,67.75,50.22,58.57,99.25,,,,,
5/28/2020,216.23,27.33,77.28,50.91,59.26,100.39,,,,,
5/27/2020,215.73,28.12,86.61,50.10,61.61,98.96,,,,,
5/26/2020,206.07,24.89,78.61,44.45,57.52,92.51,,,,,
5/25/2020,NA,21.36,NA,NA,NA,NA,,,,,
5/22/2020,208.51,21.36,66.56,45.63,50.87,86.44,,,,,
5/21/2020,209.74,21.26,68.50,44.57,51.52,84.71,,,,,
5/20/2020,209.21,19.41,61.74,48.96,51.30,77.95,,,,,
5/19/2020,213.25,17.46,55.61,49.39,46.22,73.72,,,,,
5/18/2020,216.35,19.80,61.54,52.11,51.09,77.50,,,,,
5/15/2020,214.66,14.21,51.60,46.49,43.43,68.21,,,,,
5/14/2020,204.46,13.57,54.00,44.25,42.43,68.04,,,,,
5/13/2020,200.41,11.61,51.96,41.42,39.09,67.37,,,,,
5/12/2020,198.06,15.72,66.67,49.82,46.30,75.00,,,,,
5/11/2020,202.11,18.59,76.94,56.41,53.96,77.89,,,,,
5/8/2020,206.65,19.94,83.07,54.80,57.65,81.30,,,,,
5/7/2020,209.37,17.04,73.43,54.89,55.96,78.43,,,,,
5/6/2020,214.57,12.95,62.91,55.86,49.04,73.76,,,,,
5/5/2020,222.21,17.18,70.20,56.89,56.17,80.39,,,,,
5/4/2020,213.17,15.95,71.71,54.11,55.43,80.50,,,,,
5/1/2020,214.53,16.16,72.71,53.19,59.22,78.90,,,,,
4/30/2020,219.16,19.68,84.46,56.23,61.91,88.51,,,,,
4/29/2020,229.48,23.52,95.77,62.52,70.39,97.43,,,,,
4/28/2020,235.01,20.21,86.94,56.41,64.30,94.24,,,,,
4/27/2020,242.53,19.13,79.64,58.33,62.04,91.64,,,,,
4/24/2020,242.16,16.14,71.68,55.80,57.78,87.78,,,,,
4/23/2020,236.95,14.77,69.79,52.74,52.35,87.09,,,,,
4/22/2020,240.59,16.33,73.43,56.64,54.22,89.59,,,,,
4/21/2020,235.47,16.01,74.88,53.72,50.39,89.57,,,,,
4/20/2020,238.32,19.92,87.02,57.76,57.17,89.57,,,,,
4/17/2020,240.63,23.18,98.72,61.14,58.61,95.70,,,,,
4/16/2020,226.55,17.87,86.05,53.48,52.35,85.90,,,,,
4/15/2020,227.21,19.43,95.52,50.42,55.43,90.30,,,,,
4/14/2020,232.25,25.83,111.03,57.33,64.26,101.19,,,,,
4/13/2020,218.33,22.99,116.24,50.51,62.09,98.21,,,,,
4/10/2020,NA,26.79,NA,NA,NA,NA,,,,,
4/9/2020,231.92,26.79,124.14,54.11,65.57,104.40,,,,,
4/8/2020,221.26,21.08,113.39,49.36,64.22,95.46,,,,,
4/7/2020,212.14,15.76,100.86,42.11,55.26,87.71,,,,,
4/6/2020,213.75,13.88,92.31,43.63,53.13,84.35,,,,,
4/3/2020,213.54,5.95,78.47,32.02,40.91,74.87,,,,,
4/2/2020,216.10,8.54,84.77,31.76,38.39,81.02,,,,,
4/1/2020,198.76,7.35,81.31,32.70,38.70,77.31,,,,,
3/31/2020,204.87,14.30,95.15,40.88,48.87,85.04,,,,,
3/30/2020,214.53,18.15,99.28,45.35,57.65,91.08,,,,,
3/27/2020,203.63,13.88,97.74,35.86,53.91,86.16,,,,,
3/26/2020,213.05,16.25,100.33,37.46,55.52,83.78,,,,,
3/25/2020,188.81,10.03,97.91,27.48,59.70,71.69,,,,,
3/24/2020,185.05,7.05,64.66,19.67,26.57,74.59,,,,,
3/23/2020,174.77,(4.52),35.76,12.47,11.70,64.57,,,,,
3/20/2020,181.92,(0.80),42.47,13.45,16.22,66.72,,,,,
3/19/2020,176.80,1.16,46.23,14.71,16.96,60.31,,,,,
3/18/2020,197.89,1.07,30.83,16.03,9.87,52.15,,,,,
3/17/2020,219.12,12.53,69.26,35.06,31.09,79.57,,,,,
3/16/2020,201.40,6.97,56.50,30.52,26.04,58.50,,,,,
3/13/2020,222.34,23.75,112.31,42.48,50.83,100.13,,,,,
3/12/2020,187.45,14.51,100.28,28.71,36.61,90.31,,,,,
3/11/2020,210.12,28.85,132.00,42.48,60.61,109.72,,,,,
3/10/2020,221.88,35.60,142.02,52.45,70.52,122.70,,,,,
3/9/2020,210.86,30.40,135.92,46.84,63.43,116.43,,,,,
3/6/2020,232.45,44.62,158.40,64.55,77.30,132.52,,,,,
3/5/2020,232.54,47.21,158.34,66.58,80.78,138.44,,,,,
3/4/2020,234.64,53.53,166.05,75.87,93.70,144.98,,,,,
3/3/2020,218.91,47.62,155.50,67.72,88.39,133.40,,,,,
3/2/2020,225.68,52.15,171.23,73.05,96.91,137.81,,,,,
2/28/2020,202.06,44.32,157.37,61.65,86.30,123.15,,,,,
2/27/2020,214.95,49.37,170.65,68.82,93.04,131.10,,,,,
2/26/2020,228.86,56.65,179.25,77.75,102.39,139.45,,,,,
2/25/2020,230.31,57.95,183.51,80.17,107.39,143.60,,,,,
2/24/2020,234.31,61.90,196.30,85.13,114.04,149.80,,,,,
2/21/2020,236.33,66.67,207.27,89.86,124.04,151.74,,,,,
2/20/2020,233.77,67.59,212.73,89.62,123.87,149.54,,,,,
2/19/2020,236.17,68.18,212.31,90.85,124.13,150.53,,,,,
2/18/2020,244.34,68.40,212.25,90.91,125.57,153.08,,,,,
2/17/2020,NA,69.21,NA,NA,NA,NA,,,,,
2/14/2020,245.87,69.21,214.15,92.86,129.61,156.58,,,,,
2/13/2020,246.24,69.54,214.15,91.81,128.09,154.95,,,,,
2/12/2020,243.68,68.94,215.62,90.11,127.83,152.77,,,,,
2/11/2020,245.42,69.63,218.94,92.14,130.17,155.88,,,,,
2/10/2020,245.13,68.49,214.51,90.37,129.30,153.72,,,,,
2/7/2020,243.77,67.64,215.46,91.11,130.13,153.32,,,,,
2/6/2020,242.94,67.82,212.03,90.28,129.30,154.24,,,,,
2/5/2020,242.69,67.95,212.75,91.48,131.65,154.76,,,,,
2/4/2020,234.10,63.63,206.57,84.23,126.83,146.94,,,,,
2/3/2020,232.66,62.73,205.01,82.84,126.13,148.85,,,,,
1/31/2020,233.15,61.01,202.95,82.06,124.22,145.15,,,,,
1/30/2020,237.61,63.58,208.02,84.12,130.61,149.95,,,,,
1/29/2020,233.65,61.78,203.31,81.78,127.74,148.22,,,,,
1/28/2020,215.65,61.43,204.09,80.53,127.70,150.31,,,,,
1/27/2020,212.84,59.60,202.23,79.05,125.35,149.08,,,,,
1/24/2020,216.89,61.70,207.69,81.66,127.78,151.03,,,,,
1/23/2020,215.15,62.11,206.99,81.46,128.52,149.93,,,,,
1/22/2020,214.45,62.80,208.16,80.69,128.39,163.25,,,,,
1/21/2020,215.57,62.45,208.30,80.92,129.74,162.45,,,,,
1/20/2020,NA,63.70,NA,NA,NA,NA,,,,,
1/17/2020,215.03,63.70,209.89,80.54,132.26,162.12,,,,,
1/16/2020,211.48,62.15,208.24,78.39,129.52,158.61,,,,,
1/15/2020,212.63,60.79,205.93,75.49,127.39,156.23,,,,,
1/14/2020,206.56,60.43,206.52,74.78,126.96,154.52,,,,,
1/13/2020,209.33,60.92,206.10,75.83,128.26,153.79,,,,,
1/10/2020,204.29,60.17,205.43,74.24,126.39,152.39,,,,,
1/9/2020,205.28,61.31,207.49,74.75,128.26,156.32,,,,,
1/8/2020,202.19,60.00,204.98,72.78,128.22,154.44,,,,,
1/7/2020,200.41,59.61,204.43,72.31,127.52,151.74,,,,,
1/6/2020,212.43,61.09,205.68,73.80,129.70,155.49,,,,,
1/3/2020,206.85,60.84,208.13,73.29,130.35,155.21,,,,,
1/2/2020,206.90,61.45,209.55,73.28,131.96,156.12,,,,,
1/1/2020,NA,60.33,NA,NA,NA,NA,,,,,
12/31/2019,198.89,60.33,205.35,72.71,130.00,155.08,,,,,
12/30/2019,198.60,59.81,204.82,71.66,129.30,154.22,,,,,
12/27/2019,197.89,59.76,204.04,71.82,128.78,154.80,,,,,
12/26/2019,196.16,59.62,204.34,71.40,128.78,153.85,,,,,
12/25/2019,NA,59.44,NA,NA,NA,NA,,,,,
12/24/2019,196.74,59.44,203.76,70.74,129.39,152.99,,,,,
12/23/2019,196.00,59.46,204.68,70.30,128.43,153.73,,,,,
12/20/2019,196.28,61.02,207.99,71.37,131.04,154.11,,,,,
12/19/2019,193.60,60.58,208.27,70.80,130.39,154.18,,,,,
12/18/2019,194.38,60.36,208.35,68.41,130.04,152.69,,,,,
12/17/2019,197.27,61.32,210.72,68.71,130.91,155.15,,,,,
12/16/2019,193.56,60.41,208.63,68.36,130.74,153.64,,,,,
12/13/2019,197.98,59.82,205.82,68.48,131.17,152.67,,,,,
12/12/2019,200.12,60.03,208.74,69.48,134.35,152.58,,,,,
12/11/2019,193.81,57.99,206.77,68.32,130.65,150.75,,,,,
12/10/2019,200.78,58.54,208.41,70.08,131.13,152.45,,,,,
12/9/2019,202.81,58.80,208.52,70.97,130.65,152.28,,,,,
12/6/2019,201.32,58.54,207.46,70.63,130.39,152.78,,,,,
12/5/2019,199.09,56.98,204.43,68.24,129.22,150.16,,,,,
12/4/2019,196.61,56.58,204.46,69.16,127.52,151.76,,,,,
12/3/2019,191.70,55.47,201.78,68.08,124.91,150.74,,,,,
12/2/2019,195.83,57.60,204.09,70.70,129.04,151.93,,,,,
11/29/2019,201.61,59.45,205.51,71.02,138.43,154.65,,,,,
11/28/2019,NA,60.12,NA,NA,NA,NA,,,,,
11/27/2019,201.98,60.12,208.02,72.05,138.35,154.87,,,,,
11/26/2019,201.16,59.71,206.66,72.97,137.96,154.57,,,,,
11/25/2019,195.21,58.35,200.28,69.93,136.09,151.50,,,,,
11/22/2019,192.44,57.88,199.25,69.01,134.74,151.69,,,,,
11/21/2019,189.39,56.98,198.30,69.25,134.22,150.87,,,,,
11/20/2019,191.21,58.08,203.06,69.56,135.35,152.24,,,,,
11/19/2019,195.46,58.35,200.72,70.53,135.13,152.30,,,,,
11/18/2019,194.10,57.99,200.75,71.26,136.48,150.12,,,,,
11/15/2019,200.99,57.96,202.53,70.63,136.52,148.78,,,,,
11/14/2019,201.20,58.08,202.23,70.17,135.57,149.49,,,,,
11/13/2019,195.91,57.92,206.54,69.82,135.39,149.82,,,,,
11/12/2019,207.43,58.30,207.21,69.14,134.65,148.37,,,,,
11/11/2019,204.42,57.77,205.82,67.99,134.91,148.72,,,,,
11/8/2019,204.17,57.87,207.77,66.16,135.39,148.26,,,,,
11/7/2019,199.59,57.55,203.65,65.44,135.43,147.74,,,,,
11/6/2019,192.86,57.14,200.28,64.26,133.48,146.51,,,,,
11/5/2019,184.48,55.39,197.08,62.56,130.17,144.50,,,,,
11/4/2019,184.15,55.29,191.01,63.55,132.39,142.50,,,,,
11/1/2019,188.11,55.77,193.40,62.65,133.09,143.47,,,,,
10/31/2019,187.78,54.90,189.72,63.45,131.13,144.11,,,,,
10/30/2019,186.46,55.25,188.08,61.19,132.00,141.72,,,,,
10/29/2019,188.15,54.42,187.86,66.21,132.96,140.14,,,,,
10/28/2019,184.15,53.21,185.38,63.72,132.65,140.83,,,,,
10/25/2019,186.13,53.41,184.63,64.71,131.57,142.93,,,,,
10/24/2019,187.32,54.51,185.05,66.27,128.52,144.79,,,,,
10/23/2019,182.41,54.54,188.36,66.15,128.13,146.15,,,,,
10/22/2019,183.94,54.19,188.11,65.11,127.91,142.41,,,,,
10/21/2019,189.02,56.84,191.62,67.61,130.00,164.31,,,,,
10/18/2019,189.84,55.62,189.70,66.50,129.17,163.29,,,,,
10/17/2019,195.09,55.36,188.44,65.47,128.91,161.65,,,,,
10/16/2019,200.87,55.58,184.68,65.09,128.96,165.54,,,,,
10/15/2019,209.54,56.15,185.32,65.98,129.70,166.92,,,,,
10/14/2019,212.59,55.58,185.49,66.23,128.30,166.55,,,,,
10/11/2019,210.57,55.47,186.24,65.77,128.00,165.60,,,,,
10/10/2019,208.67,54.09,184.41,64.55,126.39,163.66,,,,,
10/9/2019,209.70,53.25,181.87,63.68,123.91,163.18,,,,,
10/8/2019,207.18,52.16,179.92,62.65,121.91,161.93,,,,,
10/7/2019,212.80,55.54,187.00,65.04,125.87,166.62,,,,,
10/4/2019,217.51,56.93,190.36,66.58,126.52,169.99,,,,,
10/3/2019,211.27,53.64,186.52,62.26,122.52,163.98,,,,,
10/2/2019,209.62,53.21,186.61,62.20,119.91,165.21,,,,,
10/1/2019,213.50,56.18,193.71,64.60,124.09,171.09,,,,,
9/30/2019,218.95,59.27,200.33,66.92,127.48,176.94,,,,,
9/27/2019,218.33,59.00,197.94,65.61,125.61,175.66,,,,,
9/26/2019,218.04,59.41,199.89,66.04,125.70,175.84,,,,,
9/25/2019,217.55,59.17,199.47,65.35,126.83,173.51,,,,,
9/24/2019,216.10,58.86,197.35,65.50,127.91,173.33,,,,,
9/23/2019,215.36,59.00,198.25,66.50,127.61,172.94,,,,,
9/20/2019,213.83,58.51,200.08,65.75,125.96,172.45,,,,,
9/19/2019,212.88,59.24,202.67,66.43,128.52,173.68,,,,,
9/18/2019,210.40,59.25,204.23,65.86,128.74,172.81,,,,,
9/17/2019,205.62,58.79,201.73,65.78,128.00,174.26,,,,,
9/16/2019,203.06,57.44,200.97,63.39,125.70,172.56,,,,,
9/13/2019,200.08,57.75,196.74,62.51,125.09,172.51,,,,,
9/12/2019,217.84,57.92,196.05,63.69,123.78,176.22,,,,,
9/11/2019,214.95,57.24,192.37,63.03,123.48,172.36,,,,,
9/10/2019,214.33,56.22,190.09,62.31,121.61,172.99,,,,,
9/9/2019,216.85,57.00,191.95,62.48,122.09,177.95,,,,,
9/6/2019,219.53,56.90,189.06,61.74,124.22,184.67,,,,,
9/5/2019,215.98,56.29,189.14,60.31,122.30,182.62,,,,,
9/4/2019,214.86,54.85,185.27,59.58,120.83,179.68,,,,,
9/3/2019,212.22,52.98,182.93,57.49,119.04,174.86,,,,,
9/2/2019,NA,53.12,NA,NA,NA,NA,,,,,
8/30/2019,212.96,53.12,181.18,57.26,118.17,173.72,,,,,
8/29/2019,212.92,52.78,179.50,57.00,115.65,173.68,,,,,
8/28/2019,209.08,51.53,177.92,57.29,113.57,172.62,,,,,
8/27/2019,209.50,51.45,178.64,57.63,112.96,173.98,,,,,
8/26/2019,212.92,52.32,179.45,58.52,112.83,174.43,,,,,
8/23/2019,210.28,50.64,178.28,56.63,110.26,169.57,,,,,
8/22/2019,218.21,54.49,182.34,60.50,115.26,175.30,,,,,
8/21/2019,219.16,53.83,177.78,59.56,112.96,173.87,,,,,
8/20/2019,216.80,53.41,176.19,58.53,125.48,172.88,,,,,
8/19/2019,221.68,55.38,180.03,59.71,129.04,174.87,,,,,
8/16/2019,219.94,54.31,177.64,58.53,128.91,173.44,,,,,
8/15/2019,218.08,52.21,173.63,56.41,126.39,171.17,,,,,
8/14/2019,212.06,51.15,174.52,56.18,122.96,167.24,,,,,
8/13/2019,228.08,56.29,184.96,60.41,130.09,176.07,,,,,
8/12/2019,226.26,54.17,182.90,57.96,127.48,172.49,,,,,
8/9/2019,232.78,56.69,186.35,59.87,129.91,177.65,,,,,
8/8/2019,229.60,57.05,187.58,61.73,129.91,176.07,,,,,
8/7/2019,223.99,53.90,180.62,58.70,126.57,174.46,,,,,
8/6/2019,228.45,53.85,178.59,59.53,126.22,171.86,,,,,
8/5/2019,219.32,50.73,172.57,56.32,123.30,168.08,,,,,
8/2/2019,229.31,55.11,180.84,60.51,128.39,173.64,,,,,
8/1/2019,230.80,55.52,181.31,61.08,127.43,171.52,,,,,
7/31/2019,234.35,58.21,185.10,64.95,128.87,173.09,,,,,
7/30/2019,233.24,58.99,185.85,56.40,129.91,174.95,,,,,
7/29/2019,235.26,59.47,185.80,56.37,130.26,177.03,,,,,
