Cluster,Ticker
3,ACGL
3,CNA
3,SKWD
3,UVE
8,AFG
8,MAP
8,PGR
10,AFL
10,BRK
10,CINF
10,ORI
10,SREN
10,TIPT
4,AIG
4,AIZ
4,KNSL
4,TRV
7,ALIZY
7,FRFHF
5,ALL
5,APO
6,AXS
6,JRVR
6,ZURN
9,CB
9,EG
9,HIG
9,MCY
9,RLI
9,SIGI
9,WRB
2,HRTG
2,KMPR
2,MKL
1,IFC
1,THG
