Cluster,Ticker
8,ACGL
8,CNA
8,SREN
5,AFG
5,CINF
5,HRTG
5,SKWD
5,THG
9,AFL
9,IFC
3,AIG
3,AIZ
3,HIG
3,MCY
6,ALIZY
6,CB
6,KNSL
6,RLI
2,ALL
2,EG
2,MKL
2,TRV
10,APO
10,BRK
10,JRVR
10,SIGI
1,AXS
1,WRB
1,ZURN
4,FRFHF
4,MAP
4,PGR
4,TIPT
7,KMPR
7,ORI
7,UVE
