Cluster,Ticker
5,ACGL
5,FRFHF
5,SKWD
5,UVE
2,AFG
2,IFC
2,SIGI
2,WRB
8,AFL
8,ALIZY
8,KNSL
1,AIG
1,AXS
1,MCY
1,TIPT
9,AIZ
9,MKL
4,ALL
4,BRK
4,PGR
4,SREN
7,APO
7,CINF
7,CNA
3,CB
3,KMPR
3,ORI
3,RLI
10,EG
10,HRTG
10,MAP
10,THG
6,HIG
6,JRVR
6,TRV
6,ZURN
