Cluster,Ticker
5,ACGL
5,AIG
5,ALL
5,CNA
5,EG
5,THG
10,AFG
10,APO
10,ORI
7,AFL
7,IFC
7,KMPR
7,MCY
1,AIZ
1,PGR
1,SKWD
3,ALIZY
3,AXS
3,CB
3,HIG
3,ZURN
6,BRK
6,HRTG
6,KNSL
6,MAP
8,CINF
8,SREN
8,WRB
2,FRFHF
2,MKL
2,TIPT
2,UVE
4,JRVR
4,TRV
9,RLI
9,SIGI
