TICKER,YEAR,QUARTER,AVG_FINBERT_NEGATIVE
AFG,2018,Q3,0.4307498037815094
AFG,2018,Q4,0.0
AFG,2019,Q1,0.0
AFG,2019,Q2,0.9530104994773864
AFG,2019,Q3,0.9658812284469604
AFG,2020,Q2,0.0
AFG,2021,Q2,0.08707061139020053
AFG,2021,Q3,0.27582551751817974
AFG,2021,Q4,0.2739860415458679
AFG,2022,Q2,0.6639266014099121
AFG,2022,Q3,0.27582551751817974
AFG,2022,Q4,0.2739860415458679
AFG,2023,Q1,0.0
AFG,2023,Q2,0.0
AFG,2024,Q1,0.1489364504814148
AFG,2024,Q2,0.1010751724243164
AFG,2024,Q3,0.2825045645236969
AFL,2008,Q3,0.9680891633033752
AFL,2011,Q1,0.5092255473136902
AFL,2011,Q2,0.0
AFL,2011,Q3,0.5568280617396036
AFL,2017,Q3,0.0
AFL,2018,Q3,0.15455820163091025
AFL,2020,Q1,0.0
AFL,2020,Q2,0.0
AFL,2021,Q1,0.0
AIG,2007,Q4,0.4854463040828705
AIG,2008,Q3,0.0
AIG,2010,Q4,0.8412294387817383
AIG,2011,Q1,0.962318241596222
AIG,2011,Q3,0.5973142981529236
AIG,2011,Q4,0.9710739850997924
AIG,2012,Q1,0.0
AIG,2012,Q2,0.968798577785492
AIG,2012,Q3,0.24313244223594666
AIG,2012,Q4,0.0
AIG,2013,Q2,0.4454336166381836
AIG,2013,Q3,0.9323692321777344
AIG,2015,Q3,0.0
AIG,2015,Q4,0.0
AIG,2016,Q1,0.0
AIG,2016,Q2,0.6593580842018127
AIG,2016,Q3,0.5577612519264221
AIG,2016,Q4,0.912023425102234
AIG,2017,Q3,0.20924602448940277
AIG,2017,Q4,0.8249598344167074
AIG,2018,Q1,0.9606945514678956
AIG,2018,Q2,0.0
AIG,2018,Q3,0.11910165207726615
AIG,2018,Q4,0.47688890993595123
AIG,2019,Q2,0.461500495672226
AIG,2019,Q3,0.64110799630483
AIG,2019,Q4,0.4571065902709961
AIG,2020,Q1,0.29609432220458987
AIG,2020,Q3,0.0
