TICKER,YEAR,QUARTER,AVG_FINBERT_NEGATIVE,AVG_VADER_NEGATIVE
HIG,2020,4Q,5.223571861279197e-05,0.092
HIG,2021,2Q,0.0023369984974042904,0.10557142857142857
HIG,2021,3Q,0.33544950217371167,0.106
HIG,2021,4Q,0.12573249563087074,0.1285
HIG,2022,1Q,0.16810507222216606,0.1386666666666667
HIG,2022,2Q,9.24520018467471e-07,0.17233333333333334
HIG,2022,3Q,0.0003947196836045802,0.08966666666666667
HIG,2022,4Q,0.0016017265696035377,0.03
HIG,2023,1Q,2.2962449464092316e-06,0.0605
HIG,2023,2Q,0.20003850856748748,0.059
HIG,2023,3Q,0.19980376358207755,0.1624
HIG,2024,4Q,0.14338764038697668,0.118
KNSL,2021,4Q,0.0024081079470097953,0.15033333333333335
KNSL,2022,1Q,0.06412445896459454,0.20833333333333334
KNSL,2022,2Q,0.028232289371847685,0.22616666666666665
KNSL,2022,3Q,0.08136450672057714,0.12738461538461537
KNSL,2022,4Q,0.25868447968256686,0.17366666666666666
KNSL,2023,1Q,0.2000605914591688,0.099
KNSL,2023,2Q,0.16517541258759255,0.178625
KNSL,2023,3Q,0.12541654465816976,0.1275
KNSL,2023,4Q,0.2500334033713898,0.13625
KNSL,2024,1Q,0.0036388026525956754,0.14855555555555555
KNSL,2024,2Q,3.5469614763008914e-05,0.12025
KNSL,2024,3Q,3.568999782369841e-05,0.1295
KNSL,2024,4Q,0.33361084704376864,0.16
PGR,2021,Q1,0.37905147075653073,0.18780000000000002
PGR,2021,Q2,0.22974398732185364,0.01
PGR,2021,Q3,0.4900618333082933,0.05230769230769231
PGR,2021,Q4,0.0,0.05976923076923077
PGR,2022,Q1,0.19132535159587863,0.09385
PGR,2022,Q2,0.22229492664337158,0.1441764705882353
PGR,2022,Q3,0.13549834803531044,0.1714736842105263
PGR,2022,Q4,0.3093637228012085,0.1783
PGR,2023,Q1,0.3054210106531779,0.21313333333333334
PGR,2023,Q2,0.33884498476982117,0.22814285714285715
PGR,2023,Q3,0.29211102485656737,0.20512
PGR,2024,Q3,0.0,0.0514
PGR,2024,Q4,0.16293792020190845,0.11931818181818182
PGR,2025,Q1,0.13558764968599593,0.12528571428571428
SKWD,2022,4Q,0.19999552483704972,0.0224
SKWD,2023,1Q,0.2643108116077201,0.0534
SKWD,2023,2Q,0.33357731714257527,0.2750666666666667
SKWD,2023,3Q,0.27035279766479287,0.13753846153846155
SKWD,2024,3Q,0.19998327930556276,0.039599999999999996
SKWD,2024,4Q,0.19443052171595063,0.1092
TRV,2020,1Q,0.30079803650365666,0.20361904761904762
TRV,2020,2Q,0.36804512552958574,0.19204347826086957
TRV,2020,3Q,0.33664561774870283,0.18093333333333333
TRV,2020,4Q,0.27003930895268446,0.17206666666666667
TRV,2021,1Q,0.12290612437229595,0.22444444444444445
TRV,2021,2Q,0.08008617472429032,0.14792307692307693
TRV,2021,3Q,0.318373304487355,0.13510526315789476
TRV,2021,4Q,0.21066324644273907,0.1142608695652174
TRV,2022,1Q,0.2726272019504355,0.1724
TRV,2022,2Q,0.010311993874686504,0.11072727272727273
