TICKER,YEAR,QUARTER,AVG_FINBERT_NEGATIVE,AVG_VADER_NEGATIVE
AFG,2008,1Q,0.21589409814650934,0.1894
AFG,2008,2Q,0.2975045639212039,0.1115
AFG,2008,3Q,0.24925670062858868,0.16699999999999998
AFG,2008,4Q,0.3440421388707177,0.11822222222222223
AFG,2009,1Q,0.43539166060001067,0.11457142857142856
AFG,2009,2Q,0.43094509262217967,0.15253846153846154
AFG,2009,3Q,0.2617459375479093,0.11328571428571428
AFG,2009,4Q,0.33223760518368933,0.1598333333333333
AFG,2010,1Q,0.43315244742416353,0.16985714285714287
AFG,2010,3Q,0.00011615926310927465,0.057666666666666665
AFG,2010,4Q,0.6212850856886339,0.21300000000000002
AFG,2011,1Q,0.2557175437529908,0.12583333333333332
AFG,2011,2Q,0.3767783335452607,0.15814285714285714
AFG,2011,3Q,0.40450066577136357,0.20800000000000002
AFG,2011,4Q,0.10952644564430629,0.17433333333333334
AFG,2012,1Q,0.07377750202587749,0.13799999999999998
AFG,2012,2Q,0.3068867182945716,0.1323076923076923
AFG,2012,3Q,0.11383588113235833,0.1353076923076923
AFG,2012,4Q,0.18173379986360944,0.076375
AFG,2013,1Q,0.48062877994136954,0.1142857142857143
AFG,2013,2Q,0.5976054855532593,0.12279999999999999
AFG,2013,3Q,0.20034329779547236,0.07039999999999999
AFG,2013,4Q,0.4194965221884106,0.07800000000000001
AFG,2014,1Q,0.17865551203164223,0.09463636363636363
AFG,2014,2Q,0.09454831316027759,0.0917
AFG,2014,3Q,0.3330863251829518,0.06966666666666667
AFG,2014,4Q,0.19978702093794706,0.041400000000000006
AFG,2015,2Q,1.8764316636055156e-06,0.147
AFG,2015,3Q,0.13048191992216496,0.12824999999999998
AFG,2015,4Q,0.12028348446093297,0.08216666666666665
AFG,2016,1Q,0.2534725787965426,0.13599999999999998
AFG,2016,2Q,0.4938641525385652,0.22499999999999998
AFG,2016,3Q,0.321242044152466,0.08811111111111111
AFG,2016,4Q,0.6905008800506136,0.17185714285714285
AFG,2017,1Q,0.39942561989764724,0.1706
AFG,2017,2Q,0.5086036167352072,0.11509999999999998
AFG,2017,3Q,0.3543948415295734,0.1153921568627451
AFG,2017,4Q,0.17568129744429967,0.1132
AFG,2018,1Q,0.4223985282454426,0.162
AFG,2018,2Q,0.4184726595063244,0.20436363636363633
AFG,2018,3Q,0.21451265167568065,0.1803684210526316
AFG,2018,4Q,0.3754873022805256,0.136875
AFG,2019,1Q,0.2785595454685669,0.06516666666666666
AFG,2019,2Q,0.24911166587175723,0.10138461538461538
AFG,2019,3Q,0.2674721038540396,0.07452631578947368
AFG,2019,4Q,0.296384625847839,0.13344
AFG,2020,1Q,0.23285829623270574,0.1705384615384615
AFG,2020,2Q,0.34978911348933867,0.1369090909090909
AFG,2020,3Q,0.2203394615439082,0.10696153846153846
AFG,2020,4Q,0.14398451658185388,0.08193333333333334
AFG,2021,1Q,0.49517123075109915,0.15799999999999997
AFG,2021,2Q,0.2409711097268107,0.10536842105263157
AFG,2021,3Q,0.30017465855620035,0.12090476190476189
AFG,2021,4Q,0.16615528181561082,0.09445833333333332
AFG,2022,1Q,0.2522227057205194,0.09158333333333334
AFG,2022,2Q,0.18935920087742095,0.12758333333333333
AFG,2022,3Q,0.30017465855620035,0.12090476190476189
AFG,2022,4Q,0.16615528181561082,0.09445833333333332
AFG,2023,1Q,0.28044535116272234,0.09385
AFG,2023,2Q,0.2118310140324493,0.13084210526315787
AFG,2023,3Q,0.24991292068040927,0.141
AFG,2023,4Q,0.008007474481190989,0.07236363636363635
AFG,2024,1Q,0.19163856934900622,0.10166666666666667
AFG,2024,2Q,0.21659583789255116,0.06126666666666667
AFG,2024,3Q,0.37007536372682476,0.11943749999999999
AFL,2008,1Q,0.1864103227853775,0.144
AFL,2008,2Q,0.1442092381440716,0.0655
AFL,2008,3Q,0.00134654975026359,0.0
AFL,2009,2Q,2.0069898937435937e-05,0.17149999999999996
AFL,2009,4Q,4.450476041029105e-07,0.0
AFL,2010,2Q,0.2373290210962295,0.095
AFL,2010,4Q,0.0054834884533105826,0.0
AFL,2011,1Q,0.37151154802722886,0.032625
AFL,2011,2Q,0.2664159589621704,0.055
AFL,2011,3Q,0.7599900993900329,0.07333333333333333
AFL,2011,4Q,0.0352232284740239,0.0755
AFL,2012,1Q,8.102193572365626e-05,0.0195
AFL,2012,2Q,0.3330709168064029,0.06233333333333333
AFL,2012,4Q,1.0998444821552765e-08,0.166
AFL,2013,1Q,0.0009752122502799652,0.073
AFL,2013,2Q,0.987981617450714,0.0
AFL,2013,3Q,0.07796431285505032,0.019999999999999993
AFL,2013,4Q,0.010609767346685907,0.016466666666666668
AFL,2014,1Q,0.14332579935671674,0.05985714285714285
AFL,2014,2Q,0.2500029377789956,0.05775
AFL,2014,3Q,0.14361884664444022,0.025285714285714283
AFL,2014,4Q,0.03448465816689421,0.003
AFL,2015,1Q,0.06437384866734465,0.026363636363636363
AFL,2015,2Q,0.008750449354550917,0.01225
AFL,2015,3Q,8.308682630797648e-09,0.069
AFL,2015,4Q,0.13793389527588454,0.024142857142857143
AFL,2016,1Q,0.052142306079643826,0.00953846153846153
AFL,2016,2Q,0.06862272687150034,0.0605
AFL,2016,4Q,3.6455931606838013e-09,0.0
AFL,2017,1Q,0.0010873993160203,0.049
AFL,2017,2Q,2.247610837002867e-06,0.153
AFL,2017,3Q,0.2769306382975226,0.03642857142857143
AFL,2017,4Q,8.372667892331265e-09,0.0
AFL,2018,3Q,0.4465673943216078,0.012428571428571428
AFL,2018,4Q,8.042304323829798e-06,0.0
AFL,2019,3Q,5.151073789733117e-09,0.0
AFL,2020,1Q,0.20146210591811223,0.13009090909090906
AFL,2020,2Q,0.2501818804178128,0.05775
AFL,2021,1Q,0.19320547580718994,0.1395
AFL,2022,1Q,0.0005158394924364,0.0
AFL,2022,2Q,2.72098695859313e-05,0.0
AFL,2022,3Q,0.9999984502792358,0.276
AFL,2023,1Q,0.051493361533813495,0.0
AFL,2023,2Q,0.0006379149681378893,0.019666666666666666
AFL,2023,3Q,0.25012044695317803,0.019
AFL,2023,4Q,0.3258913436841996,0.04776923076923076
AFL,2024,1Q,0.4962568404027189,0.08299999999999999
AFL,2024,2Q,0.37333958278759677,0.0508
AFL,2024,3Q,0.20037370761721213,0.0702
AIG,2007,2Q,5.608402070602597e-05,0.15328571428571428
AIG,2007,4Q,0.17062082862425468,0.09653846153846152
AIG,2008,1Q,0.16715419783969312,0.07058333333333333
AIG,2008,3Q,0.5626026035982937,0.10742857142857143
AIG,2008,4Q,0.3967122232343172,0.04024999999999997
AIG,2010,3Q,4.61339186585974e-06,0.272
AIG,2010,4Q,0.3852329778798763,0.13699999999999998
AIG,2011,1Q,0.7500810400670161,0.22199999999999998
AIG,2011,2Q,0.6000983142133919,0.10699999999999998
AIG,2011,3Q,0.513286326307377,0.08922222222222222
AIG,2011,4Q,0.05510620054295463,0.05971428571428571
AIG,2012,1Q,0.22050057128821032,0.09886666666666667
AIG,2012,2Q,0.0774394807178759,0.1232142857142857
AIG,2012,3Q,0.1413391005144806,0.10149999999999999
