Year,Quarter,avg_finbert
2020,Q1,0.17428412891569592
2020,Q2,0.07726220462633215
2020,Q3,0.25457194248835247
2020,Q4,0.3568582483700344
2021,Q1,0.40005233642217275
2021,Q2,0.3585577351706369
2021,Q3,0.3116098559819735
2021,Q4,0.33252257415928793
2022,Q1,0.3475674313138908
2022,Q2,0.3676285902514075
2022,Q3,0.3588839313351964
2022,Q4,0.38859299511501666
2023,Q1,0.42997247786795506
2023,Q2,0.41456724910796444
2023,Q3,0.4360502823343817
2023,Q4,0.36804619489931595
2024,Q1,0.38852204298705195
2024,Q2,0.35714926038469585
2024,Q3,0.3864391315728426
2024,Q4,0.3567464451523537
2025,Q1,0.5450657946722848
