Year,PGR-Share Price (Daily)(%),AFG-Share Price (Daily)(%),ALL-Share Price (Daily)(%),AFL-Share Price (Daily)(%),TRV-Share Price (Daily)(%),S&P United States BMI Insurance (Industry Group) Index-Index Value (Daily)(%),Average_Share_Price
2006.0,0.0,0.0,0.0,0.0,0.0,,0.0
2007.0,1.01,0.6179310344827587,0.25,16.016693877551024,1.8743076923076927,2.7150961538461518,3.953786520868295
2008.0,,,,33.23455445544555,,,33.23455445544555
2009.0,,,,1.149,0.7999999999999999,,0.9744999999999999
2010.0,,,,13.158761904761903,2.6948437499999986,,7.926802827380951
2011.0,,1.5223076923076921,,16.682148760330577,8.745714285714284,,8.983390246117517
2012.0,,6.510479999999999,,7.17105263157895,19.671839999999996,,11.117790877192983
2013.0,6.9479452054794475,39.7156349206349,,25.993015873015864,55.346984126984104,0.1,32.00089503152858
2014.0,5.509777777777778,62.015238095238125,4.761794871794871,33.5656349206349,72.23273809523808,3.133252032520326,35.617036752136755
2015.0,19.829285714285703,86.54317460317455,6.595035460992908,34.277619047619034,96.75734126984128,8.22623076923077,48.80049121918269
2016.0,34.90964285714287,104.31511904761912,5.363512195121956,47.41876984126986,111.25980158730151,12.827808764940245,60.653369105691056
2017.0,84.04011952191244,175.90597609561752,35.54896414342629,69.57358565737051,132.9138247011952,35.78299999999999,99.5964940239044
2018.0,157.3500796812749,202.2193227091635,45.585936254980076,95.0093227091634,144.27051792828695,39.536896551724105,128.88703585657376
2019.0,206.39686507936514,183.44884920634908,54.426230158730135,123.66369047619052,159.54277777777787,50.50651340996165,145.49568253968255
2020.0,250.91675889328064,113.68173913043482,52.931027667984196,72.88399209486164,120.16189723320164,37.48357692307694,122.1150830039526
2021.0,292.9425793650793,246.25376984126993,88.26154761904763,132.01027777777773,185.65269841269847,77.40586206896549,189.02417460317463
2022.0,384.02788844621546,279.5152589641434,96.39322709163345,168.93079681274895,220.14366533864543,94.17696153846153,229.80216733067732
2023.0,478.2117200000002,232.5150799999998,84.05627999999999,215.60728000000017,225.12096000000005,107.71115384615383,247.10226400000005
2024.0,800.0644206008591,260.97800847457626,165.69203389830508,309.8661016949154,316.4936440677967,160.7622040816325,370.6188417472905
