Year,PGR-Share Price (Daily)(%),AFG-Share Price (Daily)(%),ALL-Share Price (Daily)(%),AFL-Share Price (Daily)(%),TRV-Share Price (Daily)(%),S&P United States BMI Insurance (Industry Group) Index-Index Value (Daily)(%),Average_Share_Price
2006.0,0.0,0.0,0.0,0.0,0.0,,0.0
2007.0,1.01,0.6179310344827587,0.25,16.01669387755102,1.8743076923076922,2.715096153846154,3.9537865208682943
2008.0,,,,33.23455445544555,,,33.23455445544555
2009.0,,,,1.149,0.7999999999999999,,0.9744999999999999
2010.0,,,,13.158761904761905,2.69484375,,7.9268028273809525
2011.0,,1.5223076923076921,,16.682148760330577,8.745714285714286,,8.983390246117517
2012.0,,6.51048,,7.171052631578948,19.67184,,11.117790877192983
2013.0,6.947945205479452,39.71563492063492,,25.99301587301587,55.34698412698413,0.1,32.00089503152859
2014.0,5.509777777777778,62.0152380952381,4.761794871794872,33.56563492063493,72.2327380952381,3.1332520325203252,35.617036752136755
2015.0,19.829285714285714,86.5431746031746,6.595035460992908,34.27761904761904,96.75734126984126,8.226230769230769,48.80049121918271
2016.0,34.909642857142856,104.31511904761905,5.3635121951219515,47.41876984126984,111.2598015873016,12.82780876494024,60.653369105691056
2017.0,84.04011952191235,175.90597609561755,35.548964143426296,69.57358565737053,132.91382470119524,35.783,99.5964940239044
2018.0,157.3500796812749,202.21932270916335,45.585936254980076,95.00932270916334,144.27051792828686,39.53689655172413,128.8870358565737
2019.0,206.39686507936509,183.4488492063492,54.42623015873016,123.66369047619048,159.5427777777778,50.50651340996169,145.49568253968255
2020.0,250.91675889328064,113.68173913043478,52.93102766798419,72.88399209486167,120.16189723320157,37.483576923076924,122.11508300395258
2021.0,292.9425793650794,246.25376984126984,88.26154761904762,132.0102777777778,185.6526984126984,77.40586206896552,189.0241746031746
2022.0,384.0278884462151,279.5152589641434,96.39322709163346,168.93079681274898,220.1436653386454,94.17696153846153,229.80216733067726
2023.0,478.21171999999996,232.51507999999998,84.05628,215.60728,225.12096,107.71115384615385,247.10226399999996
2024.0,800.0644206008584,260.97800847457626,165.69203389830508,309.86610169491524,316.4936440677966,160.76220408163263,370.6188417472903
