ticker,Year,compound_sentiment,flesch_reading_ease,gunning_fog_index,smog_index,lexical_density
AFG,2007,0.299975,-5.2475,32.83,0.0,0.796938775510204
AFG,2008,0.13460909090909093,33.229090909090914,20.879090909090905,0.0,0.796297189854502
AFG,2009,0.29922499999999996,9.225000000000001,32.245,0.0,0.7078523328523328
AFG,2010,-0.09165000000000001,13.620000000000001,25.61,0.0,0.7195685670261942
AFG,2011,0.08283636363636364,22.049090909090907,25.08363636363636,0.0,0.8446624799966777
AFG,2012,-0.03796666666666667,18.829999999999995,28.000666666666667,0.0,0.8274244332728663
AFG,2013,0.21616666666666665,29.018333333333334,24.180000000000003,0.0,0.8317748030537597
AFG,2015,0.8792,15.990000000000002,27.310000000000002,0.0,0.8327437106918238
AFG,2016,0.15207999999999997,22.889999999999997,22.518,0.0,0.8044527326800253
AFG,2017,-0.052753846153846165,37.541153846153854,21.076923076923073,0.0,0.8544036743737634
AFG,2018,0.11660000000000001,32.235,22.905,0.0,0.8133423180592991
AFG,2019,0.31610000000000005,29.60875,22.065625,0.0,0.8542166344778358
AFG,2020,0.5625,20.22,24.915,0.0,0.8693181818181819
AFG,2021,0.09643600000000002,26.7016,25.8836,0.9279999999999999,0.7924015127171099
AFG,2022,0.14983571428571432,15.745000000000001,28.021428571428572,0.0,0.8019853425714762
AFG,2023,0.25830000000000003,39.064,19.218,0.0,0.8732103952692188
AFG,2024,0.02324074074074072,28.983703703703693,22.402222222222218,0.0,0.8842928524070928
AFL,2011,0.006647058823529417,43.5970588235294,18.124705882352945,0.0,0.8758214384245376
AFL,2017,0.3461875,47.28875,17.651249999999997,0.0,0.8751380990249208
AFL,2018,0.48344,37.001999999999995,21.193000000000005,0.0,0.8680635334363964
AFL,2020,-0.1366,41.9575,21.3325,0.0,0.9101190476190477
AFL,2021,-0.11596666666666666,44.63666666666666,20.076666666666664,0.0,0.8974937343358396
ALL,2007,-0.17586071428571426,18.7075,25.45678571428572,0.0,0.8460697766190874
ALL,2008,-0.25375555555555557,27.945555555555558,23.586666666666662,0.0,0.8113701300096872
ALL,2009,-0.8554999999999999,46.445,19.535,0.0,0.7579787234042553
