,Year,compound_sentiment,Insured_Damage_Adjusted,Total_Damage_Adjusted,Disaster_Count
Year,1.0,0.09041043291396701,-0.18976463040126793,0.07901794211930124,-0.1662967146322069
compound_sentiment,0.09041043291396701,1.0,0.07552233526984745,-0.15258640924485226,0.24268001459965594
Insured_Damage_Adjusted,-0.18976463040126793,0.07552233526984745,1.0,0.88184745746308,0.5270429647868365
Total_Damage_Adjusted,0.07901794211930124,-0.15258640924485226,0.88184745746308,1.0,0.5140025369141494
Disaster_Count,-0.1662967146322069,0.24268001459965594,0.5270429647868365,0.5140025369141494,1.0
